NOM;ANNEE;FDis;FDiv;FEve;FRic;FGR-6;gr1;gr2;gr3;gr4;gr5;gr6;RaoQ;sing;nbsp;forag;diet;nest;migr;date;home;eggs;mass;AEGCAU;ALAARV;ALERUF;ANTTRI;CARCAN;CARCAR;CARCHL;CERBRA;CISJUN;COLPAL;COTCOT;CUCCAN;DENMAJ;DENMED;DENMIN;DRYMAR;EMBCIR;EMBCIT;ERIRUB;FRICOE;GARGLA;HIPPOL;JYNTOR;LANCOL;LULARB;LUSMEG;MERAPI;MILCAL;MOTALB;MOTFLA;MUSSTR;ORIORI;PARCAE;PARMAJ;PARPAL;PHACOL;PHYBON;PHYCOL;PICPIC;PICVIR;PRUMOD;PYRPYR;REGIGN;SAXTOR;SERSER;SITEUR;STRDEC;STRTUR;STUVUL;SYLATR;SYLBOR;SYLCOM;TROTRO;TURMER;TURPHI;TURVIS;UPUEPO
A24;1981;0.354037524824644;0.693353163010545;0.819805981338067;0.121786156718109;5;6;18;4;4;0;8;0.133811200284365;14;14;under;mixed;shrub;short;lateapr;small;4.95;40.3;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;6;0;0;2;4;0;2;0
A25;1981;0.377206679530511;0.801890125679071;0.823028072423014;0.218291580122431;6;6;20;4;4;8;6;0.146370039782745;16;16;under;mixed;tree;short;lateapr;small;5.08333333333333;36.6541666666667;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;4;6;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;6;0;0;2;4;2;0;0
A26;1981;0.357952803611162;0.743990815960611;0.802892864256046;0.169688014207248;5;5;8;6;4;0;2;0.131787074169466;11;11;ground;mixed;ground;short;may;small;4.28;29.52;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0
A27;1981;0.370630548524321;0.760111182314309;0.835322666333118;0.21247310473877;5;8;10;14;10;2;0;0.141392411542346;15;15;ground;insect;ground;resid;lateapr;small;5.11363636363636;36.0181818181818;0;4;0;4;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;6;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;0;0
A28;1981;0.384351417620424;0.82557220271001;0.879871845726059;0.191492338205555;5;8;18;8;0;4;6;0.152733212928936;15;15;under;mixed;ground;short;lateapr;small;5.22727272727273;67.2090909090909;4;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;6;6;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0
A29;1981;0.403463358195493;0.873702400962781;0.83208598211584;0.220207521169488;5;8;8;4;0;6;12;0.165649920225969;13;13;prober;insect;ground;short;lateapr;mid;6.15789473684211;89.8263157894737;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;6;0;2
A30;1981;0.331473298375861;0.648220847945664;0.885137496703253;0.0560337254686456;4;6;8;2;6;0;0;0.114367038047006;8;8;ground;mixed;shrub;resid;may;small;4.22727272727273;26.4363636363636;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0
A31;1981;0.365813464168716;0.842384862041156;0.841729855399886;0.16036175086502;4;8;18;6;8;0;0;0.138874882783429;15;15;ground;mixed;ground;short;earlapr;small;5.225;28.175;0;4;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;8;2;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0
A32;1981;0.360879585726642;0.717736366437458;0.864239447430958;0.128731256230977;4;6;6;0;4;0;5;0.134587169034456;8;8;ground;mixed;shrub;short;march;small;4.59523809523809;45.0571428571429;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;4;0;0;0;4;0;0;0
A33;1981;0.334451757744967;0.791406281911097;0.842246186185735;0.165084982054976;5;6;16;2;0;2;2;0.12238543400151;10;10;canopy;mixed;tree;short;lateapr;small;5.46428571428571;26.9714285714286;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;6;0;0;0;2;0;0;0
