NOM;STATION;X;Y
A150;150;526377.156949;6242999.48803
A151;151;526876.412993;6242985.7628
A152;152;527375.669033;6242972.03741
A153;153;527874.925067;6242958.31184
A154;154;528374.181098;6242944.58608
A155;155;528873.437156;6242930.86064
A156;156;529372.693203;6242917.13502
A157;157;529871.953164;6242903.41203
A158;158;530371.213481;6242889.68919
A159;159;530870.473793;6242875.96617
A160;160;531369.734099;6242862.24295
A161;161;531868.994426;6242848.51956
A162;162;532368.254755;6242834.7965
A163;163;532867.515051;6242821.07325
A164;164;533366.775334;6242807.34933
A165;165;533866.035612;6242793.62524
A166;166;534365.295884;6242779.90096
A167;167;520871.620837;6242651.1905
A168;168;521370.878207;6242637.46984
A169;169;521870.133903;6242623.74676
A170;170;522369.389601;6242610.02352
A171;171;522868.645288;6242596.29959
A172;172;523367.900967;6242582.57548
A173;173;523867.156665;6242568.85119
A174;174;524366.412358;6242555.12673
A175;175;524865.668021;6242541.40208
A176;176;525364.923768;6242527.67751
A177;177;525864.179266;6242513.95302
A178;178;526363.435002;6242500.22808
A179;179;526862.69067;6242486.50272
A180;180;527361.946333;6242472.77718
A181;181;527861.201965;6242459.05145
A182;182;528360.457593;6242445.32557
A183;183;528859.71333;6242431.59973
A184;184;529358.968791;6242417.87399
A185;185;529858.228688;6242404.1513
A186;186;530357.488911;6242390.42852
A187;187;530856.749103;6242376.70555
A188;188;531356.009288;6242362.98242
A189;189;531855.269494;6242349.25911
A190;190;532354.529757;6242335.53587
A191;191;532853.789769;6242321.8127
A192;192;533353.050045;6242308.08909
A193;193;533852.310202;6242294.36505
A194;194;534351.570355;6242280.64086
A195;195;521357.160301;6242138.21146
A196;196;521856.415677;6242124.48799
A197;197;522355.670829;6242110.76461
A198;198;522854.926201;6242097.04077
A199;199;523354.181481;6242083.31654
A200;200;523853.436778;6242069.59211
A201;201;524352.692047;6242055.86752
A202;202;524851.947307;6242042.14272
A203;203;525351.202591;6242028.41776
A204;204;525850.457852;6242014.69311
A205;205;526349.71311;6242000.9683
A206;206;526848.968377;6241987.2428
A207;207;527348.223615;6241973.51713
A208;208;527847.478846;6241959.79127
A209;209;528346.734097;6241946.06523
A210;210;528845.989346;6241932.33902
A211;211;529345.244571;6241918.61311
A212;212;529844.504243;6241904.89074
A213;213;530343.764321;6241891.16804
A214;214;530843.024393;6241877.44514
A215;215;531342.284484;6241863.72207
A216;216;531841.544569;6241849.99882
A217;217;532340.804624;6241836.2754
A218;218;532840.064765;6241822.55205
A219;219;533339.324651;6241808.82878
A220;220;533838.584774;6241795.10506
A221;221;534337.844831;6241781.38093
A222;222;521842.697316;6241625.2294
A223;223;522341.952286;6241611.50562
A224;224;522841.20701;6241597.78191
A225;225;523340.462001;6241584.05777
A226;226;523839.716897;6241570.33321
A227;227;524338.971763;6241556.60846
A228;228;524838.226625;6241542.88354
A229;229;525337.481482;6241529.15845
A230;230;525836.736422;6241515.43341
A231;231;526335.991137;6241501.70845
A232;232;526835.246089;6241487.98306
A233;233;527334.500926;6241474.25723
A234;234;527833.755758;6241460.53125
A235;235;528333.010584;6241446.80508
A236;236;528832.265404;6241433.07871
A237;237;529331.520331;6241419.35242
A238;238;529830.779715;6241405.6301
A239;239;530330.039761;6241391.9077
A240;240;530829.299714;6241378.18489
A241;241;531328.559661;6241364.4619
A242;242;531827.819601;6241350.73872
A243;243;532327.079561;6241337.01537
A244;244;532826.339518;6241323.29183
A245;245;533325.599451;6241309.56861
A246;246;533824.859377;6241295.84524
A247;247;534324.11929;6241282.12118
A248;248;534823.379197;6241268.39693
A249;249;535322.639121;6241254.67251
A250;250;518334.183299;6241222.01258
A251;251;518833.440356;6241208.29366
A252;252;519332.697137;6241194.57482
A253;253;519831.954166;6241180.85555
A254;254;520331.211103;6241167.13585
A255;255;520830.468031;6241153.41596
A256;256;521329.724532;6241139.69521
A257;257;521828.979046;6241125.97122
A258;258;522328.233528;6241112.24704
A259;259;522827.488016;6241098.52321
A260;260;523326.7425;6241084.79919
A261;261;523825.996973;6241071.07448
A262;262;524325.251463;6241057.34959
A263;263;524824.505948;6241043.62453
A264;264;525323.760404;6241029.89928
A265;265;525823.014855;6241016.17387
A266;266;526322.269308;6241002.44878
A267;267;526821.523757;6240988.72349
A268;268;527320.77822;6240974.99753
A269;269;527820.032675;6240961.2714
A270;270;528319.2871;6240947.54507
A271;271;528818.541518;6240933.81859
A272;272;529317.795934;6240920.09192
A273;273;529817.055389;6240906.36938
A274;274;530316.315095;6240892.64731
A275;275;530815.57504;6240878.92481
A276;276;531314.834867;6240865.20187
A277;277;531814.094688;6240851.47878
